caption,rank_0,better_rank,k,mask_used
Two people riding on a moped with a bus in the next lane.,28,3,5,Two people _ _ _ _ with a bus in the next lane
A Virgin Australia airline on the tarmac. ,8,1,5,A Virgin Australia airline _ _ _.
A Virgin Australia airline on the tarmac. ,8,3,5,A Virgin Australia airline on the _.
A Virgin Australia airline on the tarmac. ,8,3,5,_ Virgin Australia airline on the tarmac.
A sign for an Italian restaurant hangs outside a building.,26,3,5,_ _ _ an Italian restaurant hangs outside a building
Oranges are in a basket on a table next to a liquor bottle.,12,4,5,_ _ in a basket on a table next to a liquor bottle.
Oranges are in a basket on a table next to a liquor bottle.,12,3,5,Oranges are in a basket on a table _ _ _ liquor bottle.
"A busy city street with a bus, taxi, and motorcycle.",15,0,5,"_ _ _ _ with a bus, taxi, and motorcycle."
A man rides a motorcycle down an empty street next to houses.,17,2,5,_ _ rides a motorcycle down an empty street next to houses.
Some toy animals on the ground near a picture,22,1,5,Some toy animals _ _ _ near a picture
A cozy living room scene features easy chairs and a large television.,25,2,5,_ _ _ _ scene features easy chairs and a large television.
A close up of a bicycle  parked on a train platform.,10,5,5,_ _ _ _ of a bicycle parked on a train platform.
A skateboarder wearing a plaid shirt and jeans.,29,4,5,_ _ _ wearing a plaid shirt and jeans.
A couple on a motorcycle in front of a bus and a metermaid car,22,3,5,_ _ on a motorcycle in front of a bus and a metermaid car
A couple on a motorcycle in front of a bus and a metermaid car,22,4,5,A couple _ _ _ _ in front of a bus and a metermaid car
Man sleeping in his bedroom next to a cat.,11,3,5,Man sleeping in his _ next to a cat.
A cow standing by a damaged car in a field.,8,0,5,_ _ standing by a damaged car in a field.
A cow standing by a damaged car in a field.,8,0,5,A cow _ _ a damaged car in a field.
A cow standing by a damaged car in a field.,8,3,5,A cow standing by a damaged car _ _ _.
Fog is in the air at an intersection with several traffic lights.,6,2,5,Fog is in the air at an intersection with _ _ _ _.
Fog is in the air at an intersection with several traffic lights.,6,5,5,Fog is in the air _ _ _ _ with several traffic lights.
Fog is in the air at an intersection with several traffic lights.,6,1,5,Fog is _ _ _ at an intersection with several traffic lights.
Man in air on skateboard at night by light of street lamps.,6,4,5,Man in air on skateboard _ _ by light of street lamps.
Man in air on skateboard at night by light of street lamps.,6,4,5,Man in air on skateboard at night by light of _ _ _ _.
This is an apartment kitchen with white cabinets and appliances.,20,2,5,This is an apartment kitchen with white cabinets _ _.
Three hanging baskets all with fruit and vegetables.,6,5,5,Three hanging baskets _ _ _ fruit and vegetables.
Three hanging baskets all with fruit and vegetables.,6,3,5,Three _ _ all with fruit and vegetables.
A desk with two monitors depicting security cameras.,11,0,5,_ _ _ two monitors depicting security cameras.
A desk with two monitors depicting security cameras.,11,4,5,A desk with _ _ depicting security cameras.
The coconut cake on a red plate is half gone.,8,1,5,The coconut cake on a _ _ is half gone
The coconut cake on a red plate is half gone.,8,3,5,The coconut cake on a red plate is _ _
The coconut cake on a red plate is half gone.,8,0,5,The coconut cake on a red plate _ _ _
someone jumping up to get a frisbee out of a tree,7,3,5,someone jumping up to _ _ _ _ out of a tree
A stoic looking cat sits in a green bowl.,13,5,5,_ _ _ _ sits in a green bowl
A lot of motorbikes line up down a busy street.,11,5,5,_ _ _ motorbikes line up down a busy street
A person holding a skateboard overlooks a dead field of crops.,20,1,5,A person _ _ _ overlooks a dead field of crops
A man is sitting on a bench next to a bicycle.,10,4,5,A man is _ _ _ _ next to a bicycle.
A pinewood and green modern themed kitchen area.,9,1,5,_ _ _ and green modern themed kitchen area
A fancy bathroom with double mirrors and sinks.,15,2,5,A fancy bathroom with _ _ and sinks
A fancy bathroom with double mirrors and sinks.,15,0,5,A fancy bathroom _ _ _ _ _ _
A model standing next to a scooter in the middle of a room of people,22,4,5,A model standing next to a scooter in the middle of _ _ _ _
A dog with goggles is in a motorcycle side car.,6,4,5,A dog _ _ is in a motorcycle side car
A dog with goggles is in a motorcycle side car.,6,4,5,A dog with goggles _ _ _ _ _ _ _ _
A dog with goggles is in a motorcycle side car.,6,2,5,A dog with goggles is in a _ _ _ _
A cat is at an opening between two doors.,8,0,5,_ _ _ at an opening between two doors
A cat is at an opening between two doors.,8,3,5,A cat is at an opening _ _ _ _
A cat is at an opening between two doors.,8,0,5,A cat is _ _ _ between two doors
A cat is at an opening between two doors.,8,3,5,A cat is at an opening between _ _
A beautiful new kitchen with natural wood cabinets.,25,3,5,_ _ _ _ with natural wood cabinets.
A beautiful new kitchen with natural wood cabinets.,25,3,5,A _ _ _ _ with natural wood cabinets.
A man smiles as he stirs his food in the pot.,8,0,5,_ _ smiles as he stirs his food in the pot.
A man smiles as he stirs his food in the pot.,8,1,5,A man smiles as he stirs his food _ _ _ _
A man smiles as he stirs his food in the pot.,8,4,5,A man smiles as he _ _ his food in the pot.
Two towels hanging on a door of a bathroom,7,4,5,Two towels hanging on a door _ _ _
Two towels hanging on a door of a bathroom,7,3,5,Two towels _ _ _ _ _ _ _ _ _ _
Stained glass windows with trim decorate a church.,19,5,5,Stained glass windows with trim decorate _ _
An aerial view of the ground from an airplane.,6,5,5,An aerial view of the ground _ _ _.
A person walking in the rain on the sidewalk. ,20,1,5,_ _ _ in the rain on the sidewalk.
Hot Wheels prop car in a studio exhibit.,9,2,5,Hot Wheels prop car _ _ _ _
Hot Wheels prop car in a studio exhibit.,9,4,5,Hot Wheels prop car in a _ _
A desktop with two computers and fruit on it.,16,5,5,_ _ with two computers and fruit on it.
A desktop with two computers and fruit on it.,16,1,5,A desktop with _ _ and fruit on it.
A car stopped at the front of the stop light. ,13,2,5,A car stopped at the front of the _ _.
A girl that is standing next to a motorcycle.,12,2,5,A girl that is standing next to a _
A girl that is standing next to a motorcycle.,12,2,5,A girl that is standing next to _ _
A glass bowl filled with oranges on a table.,7,3,5,A glass bowl filled with _ on a table
Two women waiting at a bench next to a street.,19,2,5,_ _ waiting at a bench next to a street.
A parked motorcycle with a red enclosed side car.,13,0,5,_ _ _ with a red enclosed side car.
Cars try to maneuver into parking spaces along a densely packed city street. ,7,4,5,_ _ _ to maneuver into parking spaces along a densely packed city street
Cars try to maneuver into parking spaces along a densely packed city street. ,7,3,5,Cars try to _ _ into parking spaces along a densely packed city street
"The bathroom has a wall sink, medicine cabinet, toothbrush holder, and bare walls.",15,1,5,"The bathroom has a _ _, medicine cabinet, toothbrush holder, and bare walls."
A bathroom with only a toilet and tub with the wall covered in plastic,7,2,5,A bathroom with only _ _ _ _ with the wall covered in plastic
A motorcycle moves forward down an empty street.,21,3,5,A motorcycle moves forward _ _ _ _.
A display of vintage animal toys on the floor.,6,1,5,_ _ of vintage animal toys on the floor
A display of vintage animal toys on the floor.,6,1,5,A display of vintage animal toys _ _ _
A display of vintage animal toys on the floor.,6,1,5,A display of vintage animal toys on the _
A cow stands in the mud next to a car.,10,1,5,_ _ stands in the mud next to a car.
A cow stands in the mud next to a car.,10,2,5,A cow _ _ _ _ next to a car.
A person walking in the rain while holding an umbrella.,13,1,5,_ _ walking in the rain while holding an umbrella.
A person walking in the rain while holding an umbrella.,13,5,5,A person walking in the rain _ _ _ _ _
Four giraffes in a grassy plain with trees in the background.,24,5,5,_ _ _ in a grassy plain with trees in the background.
A sign on a building advertising an Italian restaurant.,13,5,5,A sign on a _ advertising an Italian restaurant.
A city street with people walking and vehicles on the road.,12,1,5,A city street with people walking _ _ _ _ _
A city street with people walking and vehicles on the road.,12,2,5,A city street with people walking and vehicles _ _ _
A green car on display next to a busy street.,7,0,5,A green car on display next to _ _ _.
Motorcyclist is taking a turn while onlookers observe ,13,1,5,_ is taking a turn while onlookers observe
A scooter is parked behind a red car.,17,2,5,_ _ _ parked behind a red car.
A scooter is parked behind a red car.,17,3,5,A scooter is _ _ a red car.
A scooter is parked behind a red car.,17,3,5,A _ _ parked behind a red car.
A futuristic car and a motorcycle parked next to each other. ,15,3,5,_ _ _ and a motorcycle parked next to each other.
