caption,rank_0,better_rank,k,mask_used
A couple with their newborn baby sitting under a tree facing a lake .,21,5,5,A couple with their newborn baby _ _ _ _ _ _ _ _ .
A couple with their newborn baby sitting under a tree facing a lake .,21,5,5,A couple with their newborn baby sitting under a tree facing a _ .
A Caucasian young woman in a white hooded sweatshirt sits at a table set for two in a lowly lit restaurant .,7,2,5,A Caucasian young woman _ _ _ _ _ sits at a table set for two in a lowly lit restaurant .
A person is wearing a lot of jewelry with corn on his or her head .,7,1,5,A person is wearing a lot of jewelry _ _ _ _ _ _ _ .
A person is wearing a lot of jewelry with corn on his or her head .,7,5,5,A person is wearing a lot of jewelry with corn on _ _ _ _ .
Man in red jacket shielding face from the sun to read .,10,1,5,Man in red jacket shielding face from the sun _ _ .
A little boy at a lake watching a duck .,13,5,5,A little boy at a lake watching a _ .
Several men in hard hats are operating a giant pulley system .,15,4,5,Several men _ _ _ are operating a giant pulley system .
A man lays on the bench to which a white dog is also tied .,7,2,5,A man lays on the bench to which a white dog is also _ .
A man with gauges and glasses is wearing a Blitz hat .,7,1,5,_ _ _ gauges and glasses is wearing a Blitz hat .
The white and brown dog is running over the surface of the snow .,12,0,5,The white and brown dog _ _ _ _ _ _ _ _ _ .
Two separate women  one wearing a white top and black pants  the other wearing all black and a pair of pink flip-flops  kneel on a gray brick sidewalk path in front of green and red bushes .,16,5,5,_ _ _ one wearing a white top and black pants the other wearing all black and a pair of pink flip-flops kneel on a gray brick sidewalk path in front of green and red bushes
Two separate women  one wearing a white top and black pants  the other wearing all black and a pair of pink flip-flops  kneel on a gray brick sidewalk path in front of green and red bushes .,16,2,5,Two separate women _ _ _ _ _ _ _ _ the other wearing all black and a pair of pink flip-flops kneel on a gray brick sidewalk path in front of green and red bushes
A young man sits on the floor by the television with a fast food meal in front of him .,11,1,5,_ young man sits on the floor by the television with a fast food meal in front of him .
A young man sits on the floor by the television with a fast food meal in front of him .,11,0,5,A _ _ sits on the floor by the television with a fast food meal in front of him .
A man in a yellow shirt  with a tall gray suitcase  sitting next to another man in a white shirt and gray pants  behind them a tall billboard for sunglasses and prescription glasses .,24,0,5,_ _ _ a yellow shirt with a tall gray suitcase sitting next to another man in a white shirt and gray pants behind them a tall billboard for sunglasses and prescription glasses
A man in a yellow shirt  with a tall gray suitcase  sitting next to another man in a white shirt and gray pants  behind them a tall billboard for sunglasses and prescription glasses .,24,5,5,A man in a _ _ with a tall gray suitcase sitting next to another man in a white shirt and gray pants behind them a tall billboard for sunglasses and prescription glasses
A man in a yellow shirt  with a tall gray suitcase  sitting next to another man in a white shirt and gray pants  behind them a tall billboard for sunglasses and prescription glasses .,24,3,5,A man in a yellow shirt with a _ _ _ sitting next to another man in a white shirt and gray pants behind them a tall billboard for sunglasses and prescription glasses
The man with the backpack is sitting in a buildings courtyard in front of an art sculpture reading .,16,4,5,The man _ _ _ _ is sitting in a buildings courtyard in front of an art sculpture reading .
Two little children  one boy and one girl  laugh as they sit on the grass .,9,3,5,Two little children _ _ _ _ _ laugh as they sit on the grass .
A bride and groom smile as they view their wedding cake at the reception .,9,3,5,A bride and groom _ _ _ _ _ _ _ _ _ _ _ _ .
A bride and groom smile as they view their wedding cake at the reception .,9,5,5,A bride and groom smile as they view their wedding cake at the _ _ .
Five hikers  one facing towards the camera and the others facing away from it  are walking through a rocky riverbed .,8,5,5,_ hikers  one facing towards the camera and the others facing away from it  are walking through a rocky riverbed .
